,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,El Cajon," 50,849"," 17,039"," 17,407"," 2,587", 206, 598, 395, 346, 371," 11,900"
,Encinitas," 44,371"," 19,547"," 11,285"," 2,168", 212, 578, 120, 122, 257," 10,082"
,Escondido," 77,446"," 29,497"," 23,576"," 3,558", 341," 1,086", 555, 284, 631," 17,918"
,Imperial Beach," 13,845"," 5,368"," 3,676", 692, 82, 229, 130, 70, 84," 3,514"
,La Mesa," 37,413"," 16,742"," 9,541"," 1,843", 180, 572, 177, 103, 212," 8,043"
,Lemon Grove," 16,068"," 7,282"," 3,613", 732, 91, 177, 165, 64, 118," 3,826"
,National City," 27,701"," 13,238"," 5,148", 935, 127, 245, 313, 213, 216," 7,266"
,Oceanside," 106,054"," 41,167"," 32,325"," 5,436", 509," 1,529", 626, 429, 644," 23,389"
,Poway," 33,157"," 11,046"," 11,973"," 1,542", 116, 436, 106, 99, 108," 7,731"
,San Diego," 799,586"," 373,175"," 170,964"," 31,640"," 3,738"," 9,242"," 4,689"," 3,007"," 4,438"," 198,693"
,San Marcos," 53,321"," 20,555"," 16,221"," 2,503", 202, 693, 252, 165, 247," 12,483"
,Santee," 38,145"," 11,523"," 15,595"," 2,054", 131, 579, 145, 96, 146," 7,876"
,Solana Beach," 9,314"," 4,041"," 2,548", 416, 32, 112, 17, 28, 33," 2,087"
,Vista," 52,151"," 20,458"," 14,834"," 2,459", 291, 795, 393, 218, 427," 12,276"
,,,,,,,,,,,
,Unincorporated Area," 315,182"," 95,636"," 126,943"," 15,822"," 1,274"," 4,487"," 1,472"," 1,043"," 1,715"," 66,790"
San Diego Totals,," 1,938,788"," 798,084"," 536,286"," 85,369"," 8,512"," 24,241"," 10,975"," 7,286"," 10,740"," 457,295"
     Percent,,,41.16%,27.66%,4.40%,0.44%,1.25%,0.57%,0.38%,0.55%,23.59%
,,,,,,,,,,,
San Francisco,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 46,058"," 29,180"," 3,928", 939, 287, 247, 180, 454, 98," 10,745"
,County Supervisorial 2," 47,396"," 30,243"," 4,863"," 1,268", 178, 390, 103, 377, 83," 9,891"
,County Supervisorial 3," 41,710"," 24,959"," 3,424", 990, 267, 388, 226, 531, 87," 10,838"
,County Supervisorial 4," 48,767"," 27,311"," 4,940", 982, 270, 295, 193, 516, 100," 14,160"
,County Supervisorial 5," 43,520"," 29,150"," 2,351", 959, 353, 282, 345, 577, 309," 9,194"
,County Supervisorial 6," 34,920"," 21,156"," 2,637", 767, 195, 267, 250, 440, 158," 9,050"
,County Supervisorial 7," 50,061"," 31,931"," 4,725"," 1,011", 293, 287, 151, 416, 106," 11,141"
,County Supervisorial 8," 57,762"," 44,143"," 2,167", 738, 356, 266, 195, 356, 108," 9,433"
,County Supervisorial 9," 47,112"," 32,254"," 2,417", 783, 404, 252, 370, 536, 158," 9,938"
,County Supervisorial 10," 43,776"," 26,338"," 2,848", 946, 205, 239, 371, 616, 421," 11,792"
,County Supervisorial 11," 45,129"," 25,625"," 3,995", 923, 249, 248, 333, 566, 98," 13,092"
,,,,,,,,,,,
,US Congressional 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,US Congressional 11," 444,680"," 287,854"," 32,811"," 9,031"," 2,759"," 2,833"," 2,263"," 4,538"," 1,574"," 101,017"
,US Congressional 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,US Congressional 15," 61,531"," 34,436"," 5,484"," 1,275", 298, 328, 454, 847, 152," 18,257"
,,,,,,,,,,,
,State Senate 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,State Senate 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,State Senate 11," 506,211"," 322,290"," 38,295"," 10,306"," 3,057"," 3,161"," 2,717"," 5,385"," 1,726"," 119,274"
,,,,,,,,,,,
,State Assembly 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,State Assembly 17," 286,425"," 185,943"," 18,731"," 5,655"," 1,811"," 1,796"," 1,834"," 3,308"," 1,261"," 66,086"
,State Assembly 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,State Assembly 19," 219,786"," 136,347"," 19,564"," 4,651"," 1,246"," 1,365", 883," 2,077", 465," 53,188"
,,,,,,,,,,,
,State Board of Equalization 2," 506,211"," 322,290"," 38,295"," 10,306"," 3,057"," 3,161"," 2,717"," 5,385"," 1,726"," 119,274"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,San Francisco," 506,211"," 322,290"," 38,295"," 10,306"," 3,057"," 3,161"," 2,717"," 5,385"," 1,726"," 119,274"
San Francisco Totals,," 506,211"," 322,290"," 38,295"," 10,306"," 3,057"," 3,161"," 2,717"," 5,385"," 1,726"," 119,274"
     Percent,,,63.67%,7.57%,2.04%,0.60%,0.62%,0.54%,1.06%,0.34%,23.56%
,,,,,,,,,,,
San Joaquin,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 58,246"," 30,991"," 10,224"," 2,387", 254, 534, 747, 320, 457," 12,332"
,County Supervisorial 2," 71,997"," 34,453"," 17,683"," 2,968", 281, 783, 619, 375, 543," 14,292"
,County Supervisorial 3," 84,489"," 35,877"," 24,521"," 3,783", 287, 910, 543, 417, 592," 17,559"
,County Supervisorial 4," 77,504"," 25,155"," 32,593"," 3,567", 258," 1,000", 445, 284, 478," 13,724"
,County Supervisorial 5," 82,315"," 33,460"," 25,440"," 3,493", 312, 920, 479, 374, 568," 17,269"
,,,,,,,,,,,
,US Congressional 9," 353,555"," 150,809"," 105,081"," 15,325"," 1,334"," 3,948"," 2,680"," 1,663"," 2,478"," 70,237"
,US Congressional 13," 20,996"," 9,127"," 5,380", 873, 58, 199, 153, 107, 160," 4,939"
,,,,,,,,,,,
,State Senate 5," 374,551"," 159,936"," 110,461"," 16,198"," 1,392"," 4,147"," 2,833"," 1,770"," 2,638"," 75,176"
,,,,,,,,,,,
,State Assembly 9," 156,027"," 54,107"," 60,462"," 7,336", 519," 1,966", 936, 616, 993," 29,092"
,State Assembly 13," 218,524"," 105,829"," 49,999"," 8,862", 873," 2,181"," 1,897"," 1,154"," 1,645"," 46,084"
,,,,,,,,,,,
,State Board of Equalization 1," 374,551"," 159,936"," 110,461"," 16,198"," 1,392"," 4,147"," 2,833"," 1,770"," 2,638"," 75,176"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Escalon," 4,441"," 1,119"," 2,297", 235, 9, 75, 12, 9, 24, 661
,Lathrop," 16,387"," 7,698"," 3,524", 634, 43, 157, 123, 95, 130," 3,983"
,Lodi," 34,785"," 11,336"," 14,230"," 1,701", 123, 541, 200, 114, 222," 6,318"
,Manteca," 46,579"," 19,139"," 14,232"," 2,224", 170, 524, 311, 225, 332," 9,422"
,Ripon," 10,063"," 2,323"," 5,260", 512, 35, 153, 33, 32, 44," 1,671"
,Stockton," 138,159"," 68,978"," 30,283"," 5,563", 558," 1,309"," 1,346", 734," 1,049"," 28,339"
,Tracy," 48,623"," 22,723"," 11,672"," 2,016", 204, 510, 332, 246, 381," 10,539"
,Mountain House," 10,139"," 4,849"," 1,790", 308, 36, 90, 53, 52, 63," 2,898"
,,,,,,,,,,,
,Unincorporated Area," 65,375"," 21,771"," 27,173"," 3,005", 214, 788, 423, 263, 393," 11,345"
San Joaquin Totals,," 374,551"," 159,936"," 110,461"," 16,198"," 1,392"," 4,147"," 2,833"," 1,770"," 2,638"," 75,176"
     Percent,,,42.70%,29.49%,4.32%,0.37%,1.11%,0.76%,0.47%,0.70%,20.07%
,,,,,,,,,,,
San Luis Obispo,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 35,664"," 10,657"," 15,710"," 1,792", 160, 524, 136, 230, 205," 6,250"
,County Supervisorial 2," 31,815"," 15,365"," 8,021"," 1,383", 251, 394, 137, 175, 293," 5,796"
,County Supervisorial 3," 38,273"," 16,930"," 10,791"," 1,746", 232, 556, 127, 220, 286," 7,385"
,County Supervisorial 4," 38,886"," 13,875"," 14,738"," 1,919", 184, 554, 159, 228, 298," 6,931"
,County Supervisorial 5," 33,367"," 11,607"," 12,938"," 1,529", 213, 570, 141, 177, 244," 5,948"
,,,,,,,,,,,
,US Congressional 19," 65,347"," 21,036"," 27,432"," 3,173", 343, 991, 246, 399, 426," 11,301"
,US Congressional 24," 112,658"," 47,398"," 34,766"," 5,196", 697," 1,607", 454, 631, 900," 21,009"
,,,,,,,,,,,
,State Senate 17," 141,518"," 55,557"," 48,439"," 6,490", 872," 2,053", 535, 812," 1,048"," 25,712"
,State Senate 21," 36,487"," 12,877"," 13,759"," 1,879", 168, 545, 165, 218, 278," 6,598"
,,,,,,,,,,,
,State Assembly 30," 159,254"," 62,011"," 54,738"," 7,439", 970," 2,335", 610, 919," 1,190"," 29,042"
,State Assembly 37," 18,751"," 6,423"," 7,460", 930, 70, 263, 90, 111, 136," 3,268"
,,,,,,,,,,,
,State Board of Equalization 2," 178,005"," 68,434"," 62,198"," 8,369"," 1,040"," 2,598", 700," 1,030"," 1,326"," 32,310"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Arroyo Grande," 12,951"," 4,854"," 4,689", 600, 65, 191, 36, 71, 98," 2,347"
,Atascadero," 19,909"," 6,820"," 7,721", 933, 131, 334, 81, 126, 144," 3,619"
,El Paso de Robles," 18,208"," 6,109"," 7,237", 914, 89, 266, 72, 117, 112," 3,292"
,Grover Beach," 7,729"," 2,949"," 2,483", 422, 37, 119, 31, 50, 53," 1,585"
,Morro Bay," 7,988"," 3,530"," 2,239", 440, 49, 94, 40, 55, 83," 1,458"
,Pismo Beach," 6,151"," 2,229"," 2,310", 301, 36, 78, 8, 40, 56," 1,093"
,San Luis Obispo," 27,801"," 14,473"," 5,441"," 1,102", 206, 404, 119, 152, 206," 5,698"
,,,,,,,,,,,
,Unincorporated Area," 77,268"," 27,470"," 30,078"," 3,657", 427," 1,112", 313, 419, 574," 13,218"
San Luis Obispo Totals,," 178,005"," 68,434"," 62,198"," 8,369"," 1,040"," 2,598", 700," 1,030"," 1,326"," 32,310"
     Percent,,,38.44%,34.94%,4.70%,0.58%,1.46%,0.39%,0.58%,0.74%,18.15%
,,,,,,,,,,,
San Mateo,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 86,471"," 46,720"," 13,785"," 2,564", 339, 594, 377, 528, 495," 21,069"
,County Supervisorial 2," 86,785"," 47,749"," 13,110"," 2,554", 356, 625, 280, 405, 440," 21,266"
,County Supervisorial 3," 103,978"," 58,367"," 16,527"," 3,309", 541, 946, 282, 371, 563," 23,072"
,County Supervisorial 4," 75,909"," 44,667"," 9,584"," 2,022", 401, 643, 420, 448, 467," 17,257"
,County Supervisorial 5," 80,997"," 46,155"," 10,660"," 2,003", 314, 506, 466, 460, 468," 19,965"
,,,,,,,,,,,
,US Congressional 15," 352,761"," 197,749"," 50,814"," 9,902"," 1,504"," 2,568"," 1,587"," 1,896"," 1,964"," 84,777"
,US Congressional 16," 81,379"," 45,909"," 12,852"," 2,550", 447, 746, 238, 316, 469," 17,852"
,,,,,,,,,,,
,State Senate 11," 77,877"," 44,728"," 9,990"," 1,877", 284, 482, 459, 457, 447," 19,153"
,State Senate 13," 356,263"," 198,930"," 53,676"," 10,575"," 1,667"," 2,832"," 1,366"," 1,755"," 1,986"," 83,476"
,,,,,,,,,,,
,State Assembly 19," 77,867"," 44,733"," 9,986"," 1,876", 284, 483, 459, 456, 446," 19,144"
,State Assembly 21," 272,322"," 151,425"," 40,545"," 7,962"," 1,206"," 2,060"," 1,120"," 1,434"," 1,508"," 65,062"
,State Assembly 23," 83,951"," 47,500"," 13,135"," 2,614", 461, 771, 246, 322, 479," 18,423"
,,,,,,,,,,,
,State Board of Equalization 2," 434,140"," 243,658"," 63,666"," 12,452"," 1,951"," 3,314"," 1,825"," 2,212"," 2,433"," 102,629"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Atherton," 4,967"," 2,198"," 1,158", 176, 13, 42, 2, 19, 21," 1,338"
,Belmont," 16,763"," 9,220"," 2,426", 491, 75, 119, 39, 43, 91," 4,259"
,Brisbane," 2,979"," 1,752", 339, 95, 21, 25, 11, 15, 18, 703
,Burlingame," 18,903"," 10,376"," 3,021", 567, 88, 117, 41, 146, 96," 4,451"
,Colma, 811, 478, 99, 31, 0, 6, 7, 4, 3, 183
,Daly City," 52,559"," 30,044"," 6,591"," 1,181", 194, 328, 324, 338, 316," 13,243"
,East Palo Alto," 11,589"," 7,098", 977, 283, 81, 91, 134, 118, 105," 2,702"
,Foster City," 18,001"," 9,164"," 2,814", 469, 60, 112, 40, 100, 69," 5,173"
,Half Moon Bay," 7,920"," 4,372"," 1,331", 316, 52, 81, 38, 34, 42," 1,654"
,Hillsborough," 8,302"," 3,531"," 2,069", 285, 11, 75, 9, 40, 31," 2,251"
,Menlo Park," 20,269"," 12,001"," 2,607", 534, 93, 146, 49, 97, 109," 4,633"
,Millbrae," 14,286"," 6,957"," 2,438", 406, 49, 74, 65, 97, 76," 4,124"
,Pacifica," 26,174"," 15,273"," 3,851", 871, 149, 271, 120, 112, 169," 5,358"
,Portola Valley," 3,608"," 2,023", 581, 87, 8, 43, 5, 13, 21, 827
,Redwood City," 43,692"," 25,062"," 6,164"," 1,243", 220, 389, 187, 200, 229," 9,998"
,San Bruno," 25,036"," 13,991"," 3,823", 794, 111, 176, 130, 110, 168," 5,733"
,San Carlos," 20,636"," 11,775"," 3,230", 644, 86, 167, 31, 64, 81," 4,558"
,San Mateo," 57,505"," 32,371"," 8,637"," 1,744", 242, 428, 218, 277, 310," 13,278"
,South San Francisco," 37,187"," 21,566"," 4,955"," 1,003", 140, 246, 230, 200, 230," 8,617"
,Woodside," 4,189"," 2,036", 937, 140, 13, 37, 5, 4, 21, 996
,,,,,,,,,,,
,Unincorporated Area," 38,764"," 22,370"," 5,618"," 1,092", 245, 341, 140, 181, 227," 8,550"
San Mateo Totals,," 434,140"," 243,658"," 63,666"," 12,452"," 1,951"," 3,314"," 1,825"," 2,212"," 2,433"," 102,629"
     Percent,,,56.12%,14.66%,2.87%,0.45%,0.76%,0.42%,0.51%,0.56%,23.64%
,,,,,,,,,,,
Santa Barbara,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 55,960"," 31,317"," 9,706"," 2,064", 368, 624, 254, 353, 407," 10,867"
,County Supervisorial 2," 51,880"," 28,235"," 9,391"," 1,766", 331, 537, 199, 346, 332," 10,743"
,County Supervisorial 3," 51,181"," 22,013"," 14,595"," 2,349", 252, 691, 311, 366, 249," 10,355"
,County Supervisorial 4," 49,225"," 15,840"," 19,606"," 2,368", 189, 609, 250, 338, 225," 9,800"
,County Supervisorial 5," 29,297"," 13,711"," 6,390"," 1,176", 109, 264, 341, 298, 86," 6,922"
,,,,,,,,,,,
,US Congressional 24," 237,543"," 111,116"," 59,688"," 9,723"," 1,249"," 2,725"," 1,355"," 1,701"," 1,299"," 48,687"
,,,,,,,,,,,
,State Senate 21," 237,543"," 111,116"," 59,688"," 9,723"," 1,249"," 2,725"," 1,355"," 1,701"," 1,299"," 48,687"
,,,,,,,,,,,
,State Assembly 37," 237,543"," 111,116"," 59,688"," 9,723"," 1,249"," 2,725"," 1,355"," 1,701"," 1,299"," 48,687"
,,,,,,,,,,,
,State Board of Equalization 2," 237,543"," 111,116"," 59,688"," 9,723"," 1,249"," 2,725"," 1,355"," 1,701"," 1,299"," 48,687"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Buellton," 3,471"," 1,322"," 1,185", 172, 9, 56, 13, 16, 25, 673
,Carpinteria," 8,185"," 4,303"," 1,623", 330, 50, 87, 28, 63, 60," 1,641"
,Goleta," 20,026"," 10,565"," 4,107", 713, 118, 203, 83, 107, 95," 4,035"
,Guadalupe," 3,516"," 1,729", 712, 141, 16, 20, 29, 32, 12, 825
,Lompoc," 19,895"," 8,087"," 5,692"," 1,006", 84, 259, 191, 177, 79," 4,320"
,Santa Barbara," 53,477"," 31,377"," 7,855"," 1,901", 365, 576, 264, 330, 379," 10,430"
,Santa Maria," 41,924"," 17,968"," 11,101"," 1,759", 151, 440, 417, 412, 132," 9,544"
,Solvang," 3,869"," 1,461"," 1,361", 203, 15, 61, 14, 24, 16, 714
,,,,,,,,,,,
,Unincorporated Area," 83,180"," 34,304"," 26,052"," 3,498", 441," 1,023", 316, 540, 501," 16,505"
Santa Barbara Totals,," 237,543"," 111,116"," 59,688"," 9,723"," 1,249"," 2,725"," 1,355"," 1,701"," 1,299"," 48,687"
     Percent,,,46.78%,25.13%,4.09%,0.53%,1.15%,0.57%,0.72%,0.55%,20.50%
,,,,,,,,,,,
Santa Clara,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 236,827"," 116,542"," 49,647"," 8,253"," 1,028"," 2,272"," 1,269", 70, 477," 57,269"
,County Supervisorial 2," 178,884"," 95,096"," 27,868"," 5,337", 936," 1,797"," 1,849", 58, 510," 45,433"
,County Supervisorial 3," 173,595"," 86,340"," 28,476"," 4,196", 656," 1,308", 906, 61, 276," 51,376"
,County Supervisorial 4," 206,191"," 107,266"," 34,154"," 6,031", 942," 1,893", 994, 46, 455," 54,410"
,County Supervisorial 5," 234,616"," 120,898"," 35,686"," 5,319", 880," 1,777", 544, 45, 413," 69,054"
,,,,,,,,,,,
,US Congressional 16," 363,995"," 189,591"," 60,304"," 9,879"," 1,526"," 3,187"," 1,613", 84, 723," 97,088"
,US Congressional 17," 308,852"," 154,339"," 48,815"," 7,413"," 1,218"," 2,351"," 1,482", 89, 545," 92,600"
,US Congressional 18," 180,964"," 95,164"," 31,888"," 6,429", 928," 1,938"," 1,570", 56, 486," 42,505"
,US Congressional 19," 176,302"," 87,048"," 34,824"," 5,415", 770," 1,571", 897, 51, 377," 45,349"
,,,,,,,,,,,
,State Senate 10," 236,699"," 119,090"," 38,576"," 5,910", 917," 1,829"," 1,211", 76, 419," 68,671"
,State Senate 13," 230,454"," 120,509"," 33,627"," 5,265", 866," 1,774", 592, 44, 403," 67,374"
,State Senate 15," 562,960"," 286,543"," 103,628"," 17,961"," 2,659"," 5,444"," 3,759", 160," 1,309"," 141,497"
,,,,,,,,,,,
,State Assembly 23," 199,307"," 105,715"," 28,015"," 4,342", 775," 1,487", 581, 43, 348," 58,001"
,State Assembly 24," 99,812"," 47,526"," 18,213"," 2,545", 357, 694, 605, 35, 140," 29,697"
,State Assembly 25," 254,993"," 132,493"," 42,770"," 7,416"," 1,257"," 2,313"," 2,258", 84, 635," 65,767"
,State Assembly 26," 216,715"," 112,327"," 31,840"," 5,331", 920," 1,762", 978, 57, 446," 63,054"
,State Assembly 28," 219,924"," 108,578"," 46,216"," 7,826", 957," 2,337", 837, 50, 475," 52,648"
,State Assembly 29," 39,362"," 19,503"," 8,777"," 1,676", 176, 454, 303, 11, 87," 8,375"
,,,,,,,,,,,
,State Board of Equalization 2," 1,030,113"," 526,142"," 175,831"," 29,136"," 4,442"," 9,047"," 5,562", 280," 2,131"," 277,542"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Campbell," 25,958"," 13,369"," 4,577", 899, 107, 307, 123, 5, 58," 6,513"
,Cupertino," 33,297"," 15,568"," 4,505", 549, 103, 170, 72, 4, 52," 12,274"
,Gilroy," 32,714"," 16,609"," 6,902"," 1,357", 158, 384, 242, 9, 62," 6,991"
,Los Altos," 22,283"," 11,786"," 3,463", 465, 53, 146, 34, 3, 35," 6,298"
,Los Altos Hills," 6,585"," 3,016"," 1,287", 173, 27, 53, 8, 2, 8," 2,011"
,Los Gatos," 22,603"," 11,031"," 4,569", 851, 96, 265, 57, 2, 49," 5,683"
,Milpitas," 38,094"," 17,982"," 6,702", 964, 124, 261, 207, 13, 59," 11,782"
,Monte Sereno," 2,759"," 1,232", 677, 106, 10, 35, 5, 1, 3, 690
,Morgan Hill," 29,096"," 13,508"," 7,293"," 1,283", 103, 360, 112, 6, 53," 6,378"
,Mountain View," 40,815"," 23,407"," 4,506", 856, 217, 340, 143, 10, 87," 11,249"
,Palo Alto," 42,757"," 24,999"," 4,305", 680, 160, 247, 92, 11, 68," 12,195"
,San Jose," 534,318"," 273,075"," 93,160"," 15,641"," 2,498"," 4,785"," 3,605", 161," 1,180"," 140,213"
,Santa Clara," 58,777"," 30,481"," 9,287"," 1,568", 255, 484, 285, 15, 136," 16,266"
,Saratoga," 23,055"," 10,244"," 4,329", 475, 58, 140, 39, 6, 24," 7,740"
,Sunnyvale," 69,990"," 36,778"," 9,980"," 1,587", 268, 571, 268, 20, 126," 20,392"
,,,,,,,,,,,
,Unincorporated Area," 47,012"," 23,057"," 10,289"," 1,682", 205, 499, 270, 12, 131," 10,867"
Santa Clara Totals,," 1,030,113"," 526,142"," 175,831"," 29,136"," 4,442"," 9,047"," 5,562", 280," 2,131"," 277,542"
     Percent,,,51.08%,17.07%,2.83%,0.43%,0.88%,0.54%,0.03%,0.21%,26.94%
,,,,,,,,,,,
Santa Cruz,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 36,728"," 22,046"," 5,213"," 1,206", 356, 416, 196, 35, 392," 6,868"
,County Supervisorial 2," 36,680"," 20,889"," 6,383"," 1,308", 271, 437, 185, 47, 370," 6,790"
,County Supervisorial 3," 31,293"," 21,015"," 2,628", 738, 420, 293, 210, 15, 307," 5,667"
,County Supervisorial 4," 24,018"," 14,465"," 3,262", 665, 135, 206, 210, 28, 160," 4,887"
,County Supervisorial 5," 38,398"," 21,034"," 6,604"," 1,511", 424, 606, 207, 23, 431," 7,558"
,,,,,,,,,,,
,US Congressional 18," 30,383"," 18,318"," 4,078", 828, 184, 262, 279, 43, 210," 6,181"
,US Congressional 19," 136,734"," 81,131"," 20,012"," 4,600"," 1,422"," 1,696", 729, 105," 1,450"," 25,589"
,,,,,,,,,,,
,State Senate 17," 167,117"," 99,449"," 24,090"," 5,428"," 1,606"," 1,958"," 1,008", 148," 1,660"," 31,770"
,,,,,,,,,,,
,State Assembly 28," 79,904"," 47,845"," 10,953"," 2,584", 949," 1,020", 462, 47, 851," 15,193"
,State Assembly 29," 34,716"," 20,478"," 5,108"," 1,011", 216, 313, 305, 51, 256," 6,978"
,State Assembly 30," 52,497"," 31,126"," 8,029"," 1,833", 441, 625, 241, 50, 553," 9,599"
,,,,,,,,,,,
,State Board of Equalization 2," 167,117"," 99,449"," 24,090"," 5,428"," 1,606"," 1,958"," 1,008", 148," 1,660"," 31,770"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Capitola," 6,834"," 4,006"," 1,013", 260, 63, 82, 33, 3, 69," 1,305"
,Santa Cruz," 36,072"," 24,103"," 3,117", 879, 475, 325, 248, 18, 348," 6,559"
,Scotts Valley," 8,838"," 4,560"," 1,887", 324, 65, 129, 24, 9, 73," 1,767"
,Watsonville," 22,583"," 13,858"," 2,814", 585, 129, 178, 213, 33, 148," 4,625"
,,,,,,,,,,,
,Unincorporated Area," 92,790"," 52,922"," 15,259"," 3,380", 874," 1,244", 490, 85," 1,022"," 17,514"
Santa Cruz Totals,," 167,117"," 99,449"," 24,090"," 5,428"," 1,606"," 1,958"," 1,008", 148," 1,660"," 31,770"
     Percent,,,59.51%,14.42%,3.25%,0.96%,1.17%,0.60%,0.09%,0.99%,19.01%
,,,,,,,,,,,
Shasta,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 21,081"," 5,391"," 9,526"," 1,300", 106, 400, 123, 12, 197," 4,026"
,County Supervisorial 2," 23,417"," 5,570"," 11,480"," 1,328", 129, 378, 108, 9, 201," 4,214"
,County Supervisorial 3," 23,106"," 4,657"," 12,721"," 1,121", 83, 367, 100, 7, 156," 3,894"
,County Supervisorial 4," 23,364"," 5,009"," 12,313"," 1,315", 109, 370, 113, 13, 154," 3,968"
,County Supervisorial 5," 22,025"," 4,308"," 11,803"," 1,365", 72, 350, 106, 16, 186," 3,819"
,,,,,,,,,,,
,US Congressional 1," 112,993"," 24,935"," 57,843"," 6,429", 499," 1,865", 550, 57, 894," 19,921"
,,,,,,,,,,,
,State Senate 1," 112,993"," 24,935"," 57,843"," 6,429", 499," 1,865", 550, 57, 894," 19,921"
,,,,,,,,,,,
,State Assembly 1," 112,993"," 24,935"," 57,843"," 6,429", 499," 1,865", 550, 57, 894," 19,921"
,,,,,,,,,,,
,State Board of Equalization 1," 112,993"," 24,935"," 57,843"," 6,429", 499," 1,865", 550, 57, 894," 19,921"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Anderson," 6,057"," 1,288"," 2,941", 399, 25, 111, 42, 7, 57," 1,187"
,Redding," 56,684"," 13,732"," 27,359"," 3,156", 282, 992, 300, 26, 444," 10,393"
,Shasta Lake," 6,101"," 1,404"," 2,888", 421, 26, 120, 35, 8, 59," 1,140"
,,,,,,,,,,,
,Unincorporated Area," 44,151"," 8,511"," 24,655"," 2,453", 166, 642, 173, 16, 334," 7,201"
Shasta Totals,," 112,993"," 24,935"," 57,843"," 6,429", 499," 1,865", 550, 57, 894," 19,921"
     Percent,,,22.07%,51.19%,5.69%,0.44%,1.65%,0.49%,0.05%,0.79%,17.63%
,,,,,,,,,,,
Sierra,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1, 459, 127, 180, 21, 3, 15, 1, 0, 3, 109
,County Supervisorial 2, 360, 120, 144, 17, 2, 3, 0, 0, 6, 68
,County Supervisorial 3, 496, 131, 226, 32, 3, 11, 1, 0, 12, 80
,County Supervisorial 4, 341, 73, 176, 19, 1, 7, 0, 0, 6, 59
,County Supervisorial 5, 510, 108, 268, 27, 2, 6, 1, 0, 8, 90
,,,,,,,,,,,
,US Congressional 3," 2,166", 559, 994, 116, 11, 42, 3, 0, 35, 406
,,,,,,,,,,,
,State Senate 1," 2,166", 559, 994, 116, 11, 42, 3, 0, 35, 406
,,,,,,,,,,,
,State Assembly 1," 2,166", 559, 994, 116, 11, 42, 3, 0, 35, 406
,,,,,,,,,,,
,State Board of Equalization 1," 2,166", 559, 994, 116, 11, 42, 3, 0, 35, 406
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Loyalton, 462, 108, 218, 26, 1, 8, 0, 0, 8, 93
,,,,,,,,,,,
,Unincorporated Area," 1,704", 451, 776, 90, 10, 34, 3, 0, 27, 313
Sierra Totals,," 2,166", 559, 994, 116, 11, 42, 3, 0, 35, 406
     Percent,,,25.81%,45.89%,5.36%,0.51%,1.94%,0.14%,0.00%,1.62%,18.74%
,,,,,,,,,,,
Siskiyou,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 5,345"," 1,228"," 2,735", 353, 19, 74, 15, 39, 4, 878
,County Supervisorial 2," 5,906"," 2,412"," 1,744", 321, 63, 102, 45, 41, 11," 1,167"
,County Supervisorial 3," 5,810"," 1,781"," 2,224", 344, 43, 81, 39, 45, 4," 1,249"
,County Supervisorial 4," 5,316"," 1,247"," 2,516", 370, 22, 107, 34, 50, 2, 968
,County Supervisorial 5," 5,360"," 1,162"," 2,715", 326, 25, 94, 24, 38, 2, 974
,,,,,,,,,,,
,US Congressional 1," 27,737"," 7,830"," 11,934"," 1,714", 172, 458, 157, 213, 23," 5,236"
,,,,,,,,,,,
,State Senate 1," 27,737"," 7,830"," 11,934"," 1,714", 172, 458, 157, 213, 23," 5,236"
,,,,,,,,,,,
,State Assembly 1," 27,737"," 7,830"," 11,934"," 1,714", 172, 458, 157, 213, 23," 5,236"
,,,,,,,,,,,
,State Board of Equalization 1," 27,737"," 7,830"," 11,934"," 1,714", 172, 458, 157, 213, 23," 5,236"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
